index,client_accuracy_0,client_attack_0,server_attack,client_auc_0,server_auc
0,47.76374483890097,0.0,0.0,0.0,0.0
1,49.69926422951522,0.0,0.0,0.0,0.0
2,57.5601961792371,0.0,0.0,0.0,0.0
3,62.98330855118816,0.0,0.0,0.0,0.0
4,64.60944519431669,0.0,0.0,0.0,0.0
5,60.515310887943635,0.0,0.0,0.0,0.0
6,68.25686676436595,0.0,0.0,0.0,0.0
7,72.69610707196172,0.0,0.0,0.0,0.0
8,65.79408245349885,0.0,0.0,0.0,0.0
9,70.95869666485459,0.0,0.0,0.0,0.0
10,73.3261558952027,0.0,0.0,0.0,0.0
11,71.91827060162824,0.0,0.0,0.0,0.0
12,72.61244643440045,0.0,0.0,0.0,0.0
13,73.75805734462024,0.0,0.0,0.0,0.0
14,72.12897395611907,0.0,0.0,0.0,0.0
15,69.4200961815939,0.0,0.0,0.0,0.0
16,75.44721397352025,0.0,0.0,0.0,0.0
17,63.99822486926943,0.0,0.0,0.0,0.0
18,74.60953620873417,0.0,0.0,0.0,0.0
19,72.61779498897087,0.0,0.0,0.0,0.0
20,74.77442324258818,0.0,0.0,0.0,0.0
21,74.04812157960475,0.0,0.0,0.0,0.0
22,71.35421115726352,0.0,0.0,0.0,0.0
23,75.02634260787622,0.0,0.0,0.0,0.0
24,71.57814552229549,0.0,0.0,0.0,0.0
25,74.64222640268856,0.0,0.0,0.0,0.0
26,75.98409653049333,0.0,0.0,0.0,0.0
27,75.55866670053497,0.0,0.0,0.0,0.0
28,72.06494961214221,0.0,0.0,0.0,0.0
29,76.25172237922101,0.0,0.0,0.0,0.0
30,73.79848743957612,0.0,0.0,0.0,0.0
31,74.08524295715881,0.0,0.0,0.0,0.0
32,76.47479955207938,0.0,0.0,0.0,0.0
33,74.37835141875337,0.0,0.0,0.0,0.0
34,74.24399306775976,0.0,0.0,0.0,0.0
35,75.70525179041074,0.0,0.0,0.0,0.0
36,79.46300903981609,0.0,0.0,0.0,0.0
37,74.81019850290343,0.0,0.0,0.0,0.0
38,74.94987697247868,0.0,0.0,0.0,0.0
39,76.33947203775418,0.0,0.0,0.0,0.0
40,74.29272717007717,0.0,0.0,0.0,0.0
41,75.78666339129177,0.0,0.0,0.0,0.0
42,75.56450994279693,0.0,0.0,0.0,0.0
43,75.34881668589267,0.0,0.0,0.0,0.0
44,75.5489867607119,0.0,0.0,0.0,0.0
45,75.77825527147394,0.0,0.0,0.0,0.0
46,74.28169266711328,0.0,0.0,0.0,0.0
47,75.8956319987839,0.0,0.0,0.0,0.0
48,75.34913186915834,0.0,0.0,0.0,0.0
49,76.67668204858606,0.0,0.0,0.0,0.0
50,74.78691297872557,0.0,0.0,0.0,0.0
51,73.5611015981218,0.0,0.0,0.0,0.0
52,75.18393850200866,0.0,0.0,0.0,0.0
53,76.20269096398584,0.0,0.0,0.0,0.0
54,73.80631469918984,0.0,0.0,0.0,0.0
55,75.65862621777026,0.0,0.0,0.0,0.0
56,75.86502884502949,0.0,0.0,0.0,0.0
57,74.52301107543951,0.0,0.0,0.0,0.0
58,74.86731019035457,0.0,0.0,0.0,0.0
59,77.1892476636728,0.0,0.0,0.0,0.0
60,76.666691961255,50.0,50.0,50.0,50.0
61,76.48260799385426,50.0,50.0,50.0,50.0
62,73.3843415482154,50.0,50.0,50.0,50.0
63,76.88078231308742,50.0,50.0,50.0,50.0
64,72.21038867564133,50.0,50.0,50.0,50.0
65,76.44830872903046,50.0,50.0,50.0,50.0
66,71.86649978995797,50.0,50.0,50.0,50.0
67,75.08560994308485,50.0,50.0,50.0,50.0
68,73.60745169927202,50.0,50.0,50.0,50.0
69,74.19028786157835,50.0,50.0,50.0,50.0
70,75.50002770456578,50.0,50.0,50.0,50.0
71,75.66295784612976,50.0,50.0,50.0,50.0
72,76.41718461683153,50.0,50.0,50.0,50.0
73,75.45670036843745,50.0,50.0,50.0,50.0
74,75.34479258110701,50.0,50.0,50.0,50.0
75,77.2250520773255,50.0,50.0,50.0,50.0
76,76.05291465930776,50.0,50.0,50.0,50.0
77,72.95949993706206,50.0,50.0,50.0,50.0
78,77.81182581349522,50.0,50.0,50.0,50.0
79,75.41036636462414,50.0,50.0,50.0,50.0
80,72.40027010273035,50.0,50.0,50.0,50.0
81,75.70055279829448,50.0,50.0,50.0,50.0
82,73.94249111741289,50.0,50.0,50.0,50.0
83,73.8195222818014,50.0,50.0,50.0,50.0
84,76.48381359533766,50.0,50.0,50.0,50.0
85,74.54067653809668,50.0,50.0,50.0,50.0
86,76.18726966366418,50.0,50.0,50.0,50.0
87,76.10642897595551,50.0,50.0,50.0,50.0
88,77.71693458399199,50.0,50.0,50.0,50.0
89,76.31038439410659,50.0,50.0,50.0,50.0
90,73.71758018645312,50.0,50.0,50.0,50.0
91,75.17285854072037,50.0,50.0,50.0,50.0
92,75.11149484301521,50.0,50.0,50.0,50.0
93,73.4195727458021,50.0,50.0,50.0,50.0
94,73.48704882762704,50.0,50.0,50.0,50.0
95,75.25548619831251,50.0,50.0,50.0,50.0
96,74.23603052373053,50.0,50.0,50.0,50.0
97,75.1810487166964,50.0,50.0,50.0,50.0
98,74.45773404495273,50.0,50.0,50.0,50.0
99,74.47355776994486,50.0,50.0,50.0,50.0
